,Fs,class_mapf,EMG_signals,knee_angle,sEMG_labels
0,400.0,1.0,-7,-578.0,C7zto
1,,3.0,-3,,
2,,1201.0,-1,,
3,,4008.0,14,,
4,,,-17,,
5,,,-14,,
6,,,3,,
7,,,5,,
8,,,-3,,
9,,,-2,,
